band,rows,cells,feature,abs_share,within_cell_share,corr_with_truth_within,r2_within_band,r2_within_alpha,within_frac_of_target_var
d2,648,6,mst_edge_kurtosis,0.003304209241572699,0.0025906797456973184,0.1159596615588316,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,mst_edge_max,0.005024946179192835,0.0014421590698320168,0.00901322052238856,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,mst_edge_q10,0.0030875085015705846,0.0022924902995391993,0.10660748657347859,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,mst_edge_q25,0.005290998119117221,0.003567423796683219,0.17191787206180614,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,mst_edge_q50,0.003728703327774895,0.0027749305068267864,0.11725685518384922,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,mst_edge_q75,0.0054978233754202225,0.004723552166056583,0.17382400128747338,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,mst_edge_q90,0.004458500880774099,0.0019275051568299428,0.0583699496845985,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,mst_dominance_ratio,0.21586073261499483,0.2385491932653154,0.7350482592748967,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,mst_gap_ratio,0.02134512614583427,0.02531038075009098,0.45182675601335437,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,mst_leaf_ratio,0.02065760186317325,0.00794391287301603,0.1613223365457698,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,mst_degree_mean,0.03369673785996535,0.02603751420374652,0.48247961851284266,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,mst_degree_std,0.004064610148766009,0.010690236329058857,0.4748334357390515,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,mst_degree_max,0.008801430649598907,0.005569838552057577,0.36856897208581774,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,mst_diameter,0.022009672452273147,0.01989837644353603,0.15962037482642982,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,mst_diameter_normalized,0.06907643131810699,0.07246302902411131,0.527076360271731,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,large_edge_count,0.022967269210655557,0.020003574984071376,0.4017479814388564,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,greedy_nn_over_mst,0.2668589883283287,0.3498398102631779,0.8206469685060152,0.8222554601614933,0.8704029921826377,0.2590023991023086
d3_5,1944,18,n_customers,0.08700755607393088,0.08652186943597906,0.4666032880519648,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,dimension,0.05757514970704394,-0.015257467970917574,-0.37209733791913036,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,log_bounding_hypervolume,0.0495617758887209,-0.00046605298742919115,-0.008530765848148946,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,bounding_hypervolume,0.024624734797211015,0.0016867469604424248,0.07360535494433525,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,log_node_density,0.0018931618190151731,0.0008611172142217625,0.08215215722462924,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,node_density,0.0038585929994097846,0.0033780018287585287,0.2833383317381499,0.8098769077135709,0.8351930711204462,0.15304052765892615
