population,instance,n,dimension,rho_nominal,rho_measured,kurtosis,alpha,large_n
benchmark,TSP-line_noise-n500-g10000-3,500,2,,20.09943484781997,2.770155707440595,1.2332549250472444,True
benchmark,TSP-line_noise-n500-g10000-4,500,2,,10.268066807618805,2.8956202863457774,1.2025970545384876,True
benchmark,TSP-line_noise-n500-g10000-5,500,2,,42.328762802352244,2.301665056190862,1.4601775435917634,True
benchmark,TSP-line_noise-n60-g1000-1,60,2,,2.8892881295542012,2.4732381088812287,1.6581953173784776,False
benchmark,TSP-line_noise-n60-g1000-2,60,2,,4.276913272008239,2.4333156841025545,1.7465606660152897,False
benchmark,TSP-line_noise-n60-g1000-3,60,2,,3.4630838733281175,3.408129240245726,1.6413656516150446,False
benchmark,TSP-line_noise-n60-g1000-4,60,2,,1.048498952837915,3.26758333723097,1.4217268500045577,False
benchmark,TSP-line_noise-n60-g1000-5,60,2,,3.819374517861983,1.955970940721625,1.6771872745922105,False
benchmark,TSP-line_noise-n60-g10000-1,60,2,,4.461962262859562,2.163249666728853,1.6985071866600956,False
benchmark,TSP-line_noise-n60-g10000-2,60,2,,3.616909674940558,2.009190705310554,1.7022751644855478,False
benchmark,TSP-line_noise-n60-g10000-3,60,2,,4.2658498806206655,2.0264696552283086,1.7231385272944886,False
benchmark,TSP-line_noise-n60-g10000-4,60,2,,1.3647362150565743,2.742995266659907,1.6700635084652753,False
benchmark,TSP-line_noise-n60-g10000-5,60,2,,1.3306237408306796,3.6908432417560406,1.3555913865071352,False
benchmark,TSP-line_noise-n600-g1000-1,600,2,,9.76177623385082,3.780135090630891,1.1795406970576687,True
benchmark,TSP-line_noise-n600-g1000-2,600,2,,25.371332251902114,2.4980563493191252,1.249326816806851,True
benchmark,TSP-line_noise-n600-g1000-3,600,2,,10.769268943713737,2.8358755174793875,1.1659873108141636,True
benchmark,TSP-line_noise-n600-g1000-4,600,2,,32.907189550323956,2.1266512931791173,1.298428412568763,True
benchmark,TSP-line_noise-n600-g1000-5,600,2,,26.0142421805467,2.6134928963073056,1.275151348210594,True
benchmark,TSP-line_noise-n600-g10000-1,600,2,,27.57710965464029,2.4498138783568546,1.2764126135722342,True
benchmark,TSP-line_noise-n600-g10000-2,600,2,,42.43607706621403,1.8597791694358432,1.3770132222499294,True
benchmark,TSP-line_noise-n600-g10000-3,600,2,,33.37175101959996,2.087695615982622,1.3252397098603017,True
benchmark,TSP-line_noise-n600-g10000-4,600,2,,12.48920431727362,2.8887901216706986,1.1975787407979173,True
benchmark,TSP-line_noise-n600-g10000-5,600,2,,48.00734315466542,2.254690703980594,1.314245285490929,True
benchmark,TSP-line_noise-n70-g1000-1,70,2,,6.1602718957022855,2.022949805627408,1.7062468215899218,False
benchmark,TSP-line_noise-n70-g1000-2,70,2,,4.8450162774450884,2.109053157329377,1.647231643606794,False
benchmark,TSP-line_noise-n70-g1000-3,70,2,,1.565866306693469,2.3914261348816908,1.3184642766402643,False
