table,bucket,bucket_slug,bucket_count,model,display,N,SDPE_pct,SDPE_lo,SDPE_hi,MAPE_pct,MedAPE_pct,MSPE_pct,RMSPE_pct,R2,R2_alpha,time_ms
nd_by_size,"$[501,1000]$",501_1000,3465,Calibrated_MST_d,Calibrated MST ratio $\hat\rho(d)$,3465,1.6001126822803002,1.5178930186808586,1.6816179444590496,6.193798957585944,5.879269455388806,6.193798957585944,6.397090526339303,0.9955270138261068,-4.269958443994949,266.0887999809347
nd_by_size,"$[501,1000]$",501_1000,3465,Calibrated_MST_dn,"Calibrated MST ratio $\hat\rho(d,n)$",3465,0.6882995258970214,0.6642601385972482,0.7106459550451021,0.6036502258215897,0.580671936640994,0.33284462617543725,0.7644639012648705,0.9998946561357224,0.92503853782065,273.0256999493576
nd_by_size,"$[501,1000]$",501_1000,3465,MST_Only,$L_{\mathrm{MST}}$ ($\alpha=1$),3465,2.610720638278683,2.5494738674645774,2.666398288163428,5.063785885908946,4.20859523886243,-5.063785885908946,5.697001201478912,0.998880516896129,-3.320823075004099,326.4069000142626
nd_by_size,"$[501,1000]$",501_1000,3465,Asymptotic_MST,Asymptotic MST ratio,135,1.4648539548425508,1.2823049951460777,1.6283998717394776,1.2418394992556407,1.1702736062949606,0.07272932094792353,1.4612295746197022,0.9997011018358629,-0.0011988965657829809,337.2120000422001
nd_by_size,"$[501,1000]$",501_1000,3465,BHH_region,BHH (sampling region),3465,11.831328834716622,11.025517359620943,12.692630272897926,24.6973892488874,26.625138549464534,-22.92590977665118,25.798009278144878,0.8969114496540758,---,108.782599971164
nd_by_size,"$[501,1000]$",501_1000,3465,LGBM_V4,GART 2.0 (32-feature variant),3465,0.42917100995125523,0.4213329389591049,0.4369698211212716,0.37753180006782944,0.22506242478550853,0.27326082187379325,0.5087298653649556,0.9999064020730952,0.9684220849130483,1265.2420999947935
nd_by_size,"$[501,1000]$",501_1000,3465,Interp_V3,Interpretable (same features),3465,1.2045481876986626,1.1863698280316362,1.2221713933454108,0.9908696598815893,0.40219170692199646,-0.7895511101336836,1.4401071319023502,0.9995555706714391,---,474.792899996828
nd_by_size,\textbf{Total},total,16846,GART_2.0,GART 2.0,16846,0.9859222860414213,0.9520412197403044,1.0188826697149895,0.6177208751843555,0.41778642262601884,0.18142597914372244,1.0024472247088083,0.9999415849452685,0.984464145565169,120.8882500068284
nd_by_size,\textbf{Total},total,16846,MST_Ratio,Fixed MST scaling,16846,6.84653965564198,6.74400511885786,6.943583403008618,8.565470305061078,5.602731402317998,-8.565470305061078,10.965382083505121,0.9991849280126887,-0.8535829355192965,46.5473000076599
nd_by_size,\textbf{Total},total,16846,Hilbert,Custom Hilbert sort,16846,14.395944254325945,14.263082828211944,14.528372766560906,21.21015361594091,16.233807858811176,21.210153565590126,25.63399155474646,0.9620060483791429,---,51.462999981595146
nd_by_size,\textbf{Total},total,16846,Linear_V3,Linear (28-feature block),16846,3.715506917901507,3.658115713481235,3.779892482525851,2.7314280597342195,1.8047875627435594,-1.7039600659111567,4.087499490069626,0.9995332365206601,0.7689351159159012,85.8456000132719
nd_by_size,\textbf{Total},total,16846,NN_V3,Neural net (30-feature block),16846,2.0291902546020317,1.9859611715873888,2.068954733644949,1.1751513184096263,0.5468871246449303,0.4735995930342915,2.0836662969728645,0.9999854389079523,0.9455577226873734,229.4716999895172
nd_by_size,\textbf{Total},total,16846,BHH,BHH,16846,14.812268220268583,14.653670926876964,14.969982206341157,39.10909322111661,37.094824603982985,-38.99331081227833,41.711731609627535,0.9036030655627447,---,1.5493000100832
nd_by_size,\textbf{Total},total,16846,Calibrated_MST_d,Calibrated MST ratio $\hat\rho(d)$,16846,7.302315509348302,7.201779091701877,7.40445242498647,6.23691429715748,5.372194732244103,0.9221175648370913,7.360091523351866,0.9963013030543575,0.200435318692742,33.49204998812635
nd_by_size,\textbf{Total},total,16846,Calibrated_MST_dn,"Calibrated MST ratio $\hat\rho(d,n)$",16846,2.944892230069506,2.8741044047706668,3.0161424261849104,1.8156857590172846,0.9801960501739184,0.43629259989109714,2.976949222832166,0.9999105515042022,0.8579723526072246,33.834250032668905
nd_by_size,\textbf{Total},total,16846,MST_Only,$L_{\mathrm{MST}}$ ($\alpha=1$),16846,7.263086393197233,7.15867980149723,7.364936024323532,9.70765494302626,7.278331914200045,-9.70765494302626,12.123854873631764,0.9990367473385992,-1.2449072073923682,36.353149975184294
nd_by_size,\textbf{Total},total,16846,Asymptotic_MST,Asymptotic MST ratio,647,11.002797030785018,10.32488214358122,11.639226267079827,9.398719175435804,4.557237669028055,-9.009893362333683,14.214521053484212,0.9982541882108539,-0.5287823163280203,124.6457999804988
nd_by_size,\textbf{Total},total,16846,BHH_region,BHH (sampling region),16846,13.570912785239829,12.849187523235754,14.403410114952614,28.01379088163302,28.559468533948987,-26.17584219051634,29.484461257773887,0.9136672026667041,---,0.24760002270339998
nd_by_size,\textbf{Total},total,16846,LGBM_V4,GART 2.0 (32-feature variant),16846,0.9656024580327723,0.9349873530610253,0.9987416390134317,0.6160813339875952,0.41427219760798817,0.19580638523729238,0.985227334026996,0.9999240346684881,0.9852735718566907,55.19965001440135
nd_by_size,\textbf{Total},total,16846,Interp_V3,Interpretable (same features),16846,3.3344105683354095,3.278167459169108,3.3911098113924343,2.319447893437095,1.0554573132215368,-1.7458081337905846,3.7637056051401894,0.9995932872116601,---,330.621950000932
