table,bucket,bucket_slug,bucket_count,model,display,N,SDPE_pct,SDPE_lo,SDPE_hi,MAPE_pct,MedAPE_pct,MSPE_pct,RMSPE_pct,R2,R2_alpha,time_ms
2d_by_genclass,Geometric: Grid\textsuperscript{$\dagger$},geometric_grid,210,NN_V3,Neural net (30-feature block),210,2.326048825493886,1.73595369534695,2.8326514107114655,7.097118013051612,7.200996205133734,6.922923427072039,7.301479823640166,0.9927099598556071,0.10131859769007978,141.60260000789998
2d_by_genclass,Geometric: Grid\textsuperscript{$\dagger$},geometric_grid,210,BHH,BHH,210,8.799198812020272,7.516350422852165,10.009817937116438,36.807616987005865,35.018903970038565,-36.807616987005865,37.83989790201535,0.8450943021998077,---,6.4305999840144
2d_by_genclass,Geometric: Grid\textsuperscript{$\dagger$},geometric_grid,210,Cavdar,Cavdar--Sokol,210,10.226019376279542,6.771022453008321,12.771660736159237,25.733788041773696,24.25728743373975,-25.733788041773696,27.682148758200665,0.88790713130456,---,5.758999992394751
2d_by_genclass,Geometric: Grid\textsuperscript{$\dagger$},geometric_grid,210,Calibrated_MST_d,Calibrated MST ratio $\hat\rho(d)$,210,7.574429065377859,5.959649762638111,9.030786063959772,21.121802496307506,23.145691243781002,20.37259918231827,21.728818956070995,0.9020468413522563,-6.727236643391122,25.6317000603303
2d_by_genclass,Geometric: Grid\textsuperscript{$\dagger$},geometric_grid,210,Calibrated_MST_dn,"Calibrated MST ratio $\hat\rho(d,n)$",210,6.420727776343689,5.378880172690484,7.3654629615156,15.99266250192535,14.817901189044022,15.99266250192535,17.22773014665962,0.9756585498236237,-4.371171635323601,26.59844997106115
2d_by_genclass,Geometric: Grid\textsuperscript{$\dagger$},geometric_grid,210,MST_Only,$L_{\mathrm{MST}}$ ($\alpha=1$),210,6.006512447468906,4.730779361988708,7.17005992600248,4.544684611590386,2.3456261952551927,-4.544684611590386,7.520674776054317,0.9994840668633188,-0.42911655774530044,27.07765004015525
2d_by_genclass,Geometric: Grid\textsuperscript{$\dagger$},geometric_grid,210,Asymptotic_MST,Asymptotic MST ratio,210,6.758868216043042,5.227346371913456,8.042061869128865,9.430580431892695,10.080374006733763,7.411730662933205,10.01990599865502,0.9801110776254259,-0.8169080727683622,24.64695004164235
2d_by_genclass,Geometric: Grid\textsuperscript{$\dagger$},geometric_grid,210,BHH_region,BHH (sampling region),210,4.787643525122432,4.111459015406261,5.364785232296687,23.03260108184587,24.77944779921778,-23.03260108184587,23.522608124392658,0.8883042389919331,---,0.08590001380071044
2d_by_genclass,Geometric: Grid\textsuperscript{$\dagger$},geometric_grid,210,LGBM_V4,GART 2.0 (32-feature variant),210,1.7177374938491692,1.4138577583612242,2.023446674968973,7.081755715814123,7.286381057172635,7.081755715814123,7.286139961243077,0.9913490793413672,0.10217330886081322,37.27310000977005
2d_by_genclass,Geometric: Grid\textsuperscript{$\dagger$},geometric_grid,210,Interp_V3,Interpretable (same features),210,3.1907917795576393,2.6814897829219255,3.7217451662207495,5.227655485062284,4.948177557610721,5.197115660540866,6.0944796080126284,0.9956961435166618,---,312.258699999802
2d_by_genclass,"Geometric: Boundary, X-Central",geometric_other,420,GART_2.0,GART 2.0,420,2.5988538338443035,2.2863093484146995,2.92902236506011,1.958750119461214,1.4827228584461456,0.5822102237880182,2.660249789733294,0.9995921775868107,0.9381672701813542,116.81970002246085
2d_by_genclass,"Geometric: Boundary, X-Central",geometric_other,420,GART,GART 1.0,420,5.326323657847233,4.937729196095069,5.7197586637651385,5.500595237054295,5.2769782297379315,3.81037659720003,6.543786866900766,0.9932335961109428,0.7000507616962365,50.76825000287495
2d_by_genclass,"Geometric: Boundary, X-Central",geometric_other,420,MST_Ratio,Fixed MST scaling,420,8.47749992143355,7.517961113650643,9.278067641797872,10.79006700600958,7.288784082326732,-10.79006700600958,13.715773278042283,0.9929197633447504,-0.9920517912113971,18.5091500025009
2d_by_genclass,"Geometric: Boundary, X-Central",geometric_other,420,Hilbert,Custom Hilbert sort,420,11.612498959725151,10.663534390918704,12.563886860225576,31.374454878575204,35.8423939701631,31.374454716272712,33.44974542638545,0.7545872020181917,---,0.8232499967561501
2d_by_genclass,"Geometric: Boundary, X-Central",geometric_other,420,Linear_V3,Linear (28-feature block),420,4.786791591534473,4.146848742189902,5.394532926019315,3.856233308467845,3.2413808118390035,1.3850507624118398,4.977668500762077,0.9976247826019751,0.7564592086836962,72.2989999776473
2d_by_genclass,"Geometric: Boundary, X-Central",geometric_other,420,NN_V3,Neural net (30-feature block),420,3.2474667733740072,2.775865599533061,3.7135957272894027,2.150599488104102,1.3742862333725123,0.11054550346056233,3.245481648753906,0.999616783550457,0.8967508755107292,139.1471499955514
2d_by_genclass,"Geometric: Boundary, X-Central",geometric_other,420,BHH,BHH,420,21.554648145027386,19.899026101831602,23.146825719168064,16.201960394072028,8.361588253934915,-11.447882015209665,24.38340956495505,0.9851014657471411,---,6.461350014433201
2d_by_genclass,"Geometric: Boundary, X-Central",geometric_other,420,Cavdar,Cavdar--Sokol,420,16.25279477592507,14.604081344338137,17.752274754592147,11.03873492491075,4.201578102621756,-10.151512212032557,19.14621638079619,0.9934170616506893,---,6.7510999797377504
